"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","68p","~","000_MyFootprint:C_Disc_D5.0mm_W2.5mm_P2.50mm","2",""
"C3,C4,C5,C6","0.1uF","~","000_MyFootprint:C_Disc_D5.0mm_W2.5mm_P2.50mm","4",""
"C7,C8","0.33uF","~","000_MyFootprint:C_Disc_D5.0mm_W2.5mm_P2.50mm","2",""
"C9","47uF","~","000_MyFootprint:CP_Radial_D6.3mm_P2.50mm","1",""
"D1","1N4148","","000_MyFootprint:D_T-1_P5.08mm_Horizontal","1",""
"J1","TangNano20K","~","000_MyFootprint:DIP-40_W20.32mm800mil_Socket","1",""
"J2,J3","Conn_01x30","~","000_MyFootprint:PinSocket_1x30_P2.54mm_Vertical","2",""
"J4","Disable","~","000_MyFootprint:JumperedPinHeader_1x02_P2.54mm_Vertical","1",""
"J5","DBG UART","~","000_MyFootprint:PinHeader_1x06_P2.54mm_Horizontal","1",""
"J6","WS2812","~","000_MyFootprint:PinSocket_1x04_P2.54mm_Horizontal","1",""
"LED1","LED","~","000_MyFootprint:LED_D3.0mm","1",""
"R1","1M","~","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2","33","~","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15","10k","~","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","13",""
"R16","100k","~","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"SW1","INIT","~","000_MyFootprint:SW_PUSH_6mm_H4.3mm","1",""
"SW2","HALT","~","000_MyFootprint:SW_PUSH_6mm_H4.3mm","1",""
"U1","DCJ11","","000_MyFootprint:DIP-60_W33.02mm_LongPads","1",""
"U2,U3,U4,U5","SN74CB3T3245DW","SN74CB3T3245DW","000_MyFootprint:DW20","4",""
"Y1","18MHz","~","000_MyFootprint:Crystal_HC49-U_Vertical","1",""
